,entity,meaning
40,squat," sit on one's heels; ""In some cultures, the women give birth while squatting""; ""The children hunkered down to protect themselves from the sandstorm"""
41,squat," a small worthless amount; ""you don't know jack"""
42,supposition, the cognitive process of supposing
43,supposition," a hypothesis that is taken for granted; ""any society is built upon certain assumptions"""
44,wind," catch the scent of; get wind of; ""The dog nosed out the drugs"""
45,wind," raise or haul up with or as if with mechanical help; ""hoist the bicycle onto the roof of the car"""
46,wind," to move or cause to move in a sinuous, spiral, or circular course; ""the river winds through the hills""; ""the path meanders through the vineyards""; ""sometimes, the gout wanders through the entire body"""
47,wind," an indication of potential opportunity; ""he got a tip on the stock market""; ""a good lead for a job"""
48,wind," air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure; ""trees bent under the fierce winds""; ""when there is no wind, row""; ""the radioactivity was being swept upwards by the air current and out into the atmosphere"""
49,wind," extend in curves and turns; ""The road winds around the lake""; ""the path twisted through the forest"""
50,wind, a reflex that expels intestinal gas through the anus
51,wind," empty rhetoric or insincere or exaggerated talk; ""that's a lot of wind""; ""don't give me any of that jazz"""
52,run up," raise; ""hoist the flags""; ""hoist a sail"""
53,run up, pile up (debts or scores)
54,excite," produce a magnetic field in; ""excite the neurons"""
55,excite, arouse or elicit a feeling
56,excite," raise to a higher energy level; ""excite the atoms"""
57,spade," dig (up) with a spade; ""I spade compost into the flower beds"""
58,spade," (ethnic slur) extremely offensive name for a Black person; ""only a Black can call another Black a nigga"""
59,noise," a loud outcry of protest or complaint; ""the announcement of the election recount caused a lot of noise""; ""whatever it was he didn't like it and he was going to let them know by making as loud a noise as he could"""
60,noise," sound of any kind (especially unintelligible or dissonant sound); ""he enjoyed the street noises""; ""they heard indistinct noises of people talking""; ""during the firework display that ended the gala the noise reached 98 decibels"""
61,noise, electrical or acoustic activity that can disturb communication
62,fate," decree or designate beforehand; ""She was destined to become a great pianist"""
63,fate," the ultimate agency regarded as predetermining the course of events (often personified as a woman); ""we are helpless in the face of destiny"""
64,fate, an event (or a course of events) that will inevitably happen in the future
65,trench, a ditch dug as a fortification having a parapet of the excavated earth
66,trench, a long steep-sided depression in the ocean floor
67,trench," cut a trench in, as for drainage; ""ditch the land to drain it""; ""trench the fields"""
68,trench, any long ditch cut in the ground
69,trench," impinge or infringe upon; ""This impinges on my rights as an individual""; ""This matter entrenches on other domains"""
70,trench," set, plant, or bury in a trench; ""trench the fallen soldiers""; ""trench the vegetables"""
71,sudan, a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
72,sudan, a region of northern Africa to the south of the Sahara and Libyan deserts; extends from the Atlantic to the Red Sea
73,spread out," extend in one or more directions; ""The dough expands"""
74,spread out," move outward; ""The soldiers fanned out"""
75,spread out," move away from each other; ""The crowds dispersed""; ""The children scattered in all directions when the teacher approached"";"
76,spread out," strew or distribute over an area; ""He spread fertilizer over the lawn""; ""scatter cards across the table"""
77,rushing," (American football) an attempt to advance the ball by running into the line; ""the linebackers were ready to stop a rush"""
78,rushing," the act of moving hurriedly and in a careless manner; ""in his haste to leave he forgot his book"""
79,tempt," dispose or incline or entice to; ""We were tempted by the delicious-looking food"""
80,tempt," provoke someone to do something through (often false or exaggerated) promises or persuasion; ""He lured me into temptation"""
81,tempt, try to seduce
82,tempt," give rise to a desire by being attractive or inviting; ""the window displays tempted the shoppers"""
83,tempt," induce into action by using one's charm; ""She charmed him into giving her all his money"""
84,voice, utter with vibrating vocal chords
85,voice," the ability to speak; ""he lost his voice"""
86,voice," an advocate who represents someone else's policy or purpose; ""the meeting was attended by spokespersons for all the major organs of government"""
87,voice," expressing in coherent verbal form; ""the articulation of my feelings""; ""I gave voice to my feelings"""
88,voice," give voice to; ""He voiced his concern"""
89,voice, (linguistics) the grammatical relation (active or passive) of the grammatical subject of a verb to the action that the verb denotes
90,voice," the melody carried by a particular voice or instrument in polyphonic music; ""he tried to sing the tenor part"""
91,mound," structure consisting of an artificial heap or bank usually of earth or stones; ""they built small mounds to hide behind"""
92,mound," form into a rounded elevation; ""mound earth"""
93,mound, a small natural hill
94,taste," delicate discrimination (especially of aesthetic values); ""arrogance and lack of taste contributed to his rapid success""; ""to ask at that particular time was the ultimate in bad taste"""
95,taste," a small amount eaten or drunk; ""take a taste--you'll like it"""
96,taste," perceive by the sense of taste; ""Can you taste the garlic?"""
97,taste," a strong liking; ""my own preference is for good literature""; ""the Irish have a penchant for blarney"""
98,taste, have flavor; taste of something
99,taste," have a distinctive or characteristic taste; ""This tastes of nutmeg"""
100,taste," distinguish flavors; ""We tasted wines last night"""
101,taste," the faculty of distinguishing sweet, sour, bitter, and salty properties in the mouth; ""his cold deprived him of his sense of taste"""
102,tinsel," adorn with tinsel; ""snow flakes tinseled the trees"""
103,tinsel," impart a cheap brightness to; ""his tinseled image of Hollywood"""
104,training," the result of good upbringing (especially knowledge of correct social behavior); ""a woman of breeding and refinement"""
105,training, activity leading to skilled behavior
106,balcony, a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet
107,balcony, an upper floor projecting from the rear over the main floor in an auditorium
108,operation," (mathematics) calculation by mathematical methods; ""the problems at the end of the chapter demonstrated the mathematical processes involved in the derivation""; ""they were learning the basic operations of arithmetic"""
109,operation," the state of being in effect or being operative; ""that rule is no longer in operation"""
110,operation," (computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction); ""it can perform millions of operations per second"""
111,operation," the activity of operating something (a machine or business etc.); ""her smooth operation of the vehicle gave us a surprisingly comfortable ride"""
112,operation," activity by a military or naval force (as a maneuver or campaign); ""it was a joint operation of the navy and air force"""
113,pass," go unchallenged; be approved; ""The bill cleared the House"""
114,pass," one complete cycle of operations (as by a computer); ""it was not possible to complete the computation in a single pass"""
115,pass," go successfully through a test or a selection process; ""She passed the new Jersey Bar Exam and can practice law now"""
116,pass," (military) a written leave of absence; ""he had a pass for three days"""
117,pass," the location in a range of mountains of a geological formation that is lower than the surrounding peaks; ""we got through the pass before it started to snow"""
118,pass," cause to pass; ""She passed around the plates"""
119,pass," accept or judge as acceptable; ""The teacher passed the student although he was weak"""
120,pass," grant authorization or clearance for; ""Clear the manuscript for publication""; ""The rock star never authorized this slanderous biography"""
121,pass," throw (a ball) to another player; ""Smith passed"""
122,pass," travel past; ""The sports car passed all the trucks"""
123,pass," go across or through; ""We passed the point where the police car had parked""; ""A terrible thought went through his mind"""
124,pass," eliminate from the body; ""Pass a kidney stone"""
125,pass," a document indicating permission to do something without restrictions; ""the media representatives had special passes"""
126,pass," make laws, bills, etc. or bring into effect by legislation; ""They passed the amendment""; ""We cannot legislate how people spend their free time"""
127,pass," a permit to enter or leave a military installation; ""he had to show his pass in order to get out"""
128,back, (football) a person who plays in the backfield
129,back," support financial backing for; ""back this enterprise"""
130,back, strengthen by providing with a back or backing
131,back, (American football) the position of a player on a football team who is stationed behind the line of scrimmage
132,prepuce, a fold of skin covering the tip of the clitoris
133,prepuce, a fold of skin covering the tip of the penis
134,vulnerability," the state of being vulnerable or exposed; ""his vulnerability to litigation""; ""his exposure to ridicule"""
135,vulnerability, susceptibility to injury or attack
136,impairment," the condition of being unable to perform as a consequence of physical or mental unfitness; ""reading disability""; ""hearing impairment"""
137,impairment, the occurrence of a change for the worse
138,impairment, damage that results in a reduction of strength or quality
139,impairment, a symptom of reduced quality or strength
140,filler, the tobacco used to form the core of a cigar
141,filler, used for filling cracks or holes in a surface
142,orphan, someone or something who lacks support or care or supervision
143,orphan, a child who has lost both parents
144,orphan, deprive of parents
145,fear," an anxious feeling; ""care had aged him""; ""they hushed it up out of fear of public reaction"""
146,fear," be afraid or scared of; be frightened of; ""I fear the winters in Moscow""; ""We should not fear the Communists!"""
147,subdivision," a division of some larger or more complex organization; ""a branch of Congress""; ""botany is a branch of biology""; ""the Germanic branch of Indo-European languages"""
148,subdivision, the act of subdividing; division of something previously divided
149,subdivision," a self-contained part of a larger composition (written or musical); ""he always turns first to the business section""; ""the history of this work is discussed in the next section"""
150,taxonomy, (biology) study of the general principles of scientific classification
151,taxonomy, practice of classifying plants and animals according to their presumed natural relationships
152,taxonomy, a classification of organisms into groups based on similarities of structure or origin etc
153,want," feel or have a desire for; want strongly; ""I want to go home now""; ""I want my own room"""
154,want," the state of needing something that is absent or unavailable; ""there is a serious lack of insight into the problem""; ""water is the critical deficiency in desert regions""; ""for want of a nail the shoe was lost"""
155,want," be without, lack; be deficient in; ""want courtesy""; ""want the strength to go on living""; ""flood victims wanting food and shelter"""
156,want," therapy based on the assumption that restoring health is best accomplished by manipulating the skeleton and muscles   wish or demand the presence of; ""I want you here at noon!"""
157,want," anything that is necessary but lacking; ""he had sufficient means to meet his simple needs""; ""I tried to supply his wants"""
158,want," have need of; ""This piano wants the attention of a competent tuner"""
159,want," hunt or look for; want for a particular reason; ""Your former neighbor is wanted by the FBI""; ""Uncle Sam wants you"""
160,want, a state of extreme poverty
161,thrust," the act of applying force to propel something; ""after reaching the desired velocity the drive is cut off"""
162,thrust, make a thrusting forward movement
163,thrust," push upward; ""The front of the trains that had collided head-on thrust up into the air"""
164,thrust," push forcefully; ""He thrust his chin forward"""
165,thrust," place or put with great energy; ""She threw the blanket around the child""; ""thrust the money in the hands of the beggar"""
166,thrust," impose urgently, importunately, or inexorably; ""She forced her diet fads on him"""
167,thrust, penetrate or cut through with a sharp instrument
168,thrust," press or force; ""Stuff money into an envelope""; ""She thrust the letter into his hand"""
169,thrust," the force used in pushing; ""the push of the water on the walls of the tank""; ""the thrust of the jet engines"""
170,thrust," a strong blow with a knife or other sharp pointed instrument; ""one strong stab to the heart killed him"""
171,splinter," a small thin sharp bit or wood or glass or metal; ""he got a splinter in his finger""; ""it broke into slivers"""
172,splinter," withdraw from an organization or communion; ""After the break up of the Soviet Union, many republics broke away"""
173,splinter, divide into slivers or splinters
174,splinter," break up into splinters or slivers; ""The wood splintered"""
175,suit," be agreeable or acceptable to; ""This suits my needs"""
176,suit," accord or comport with; ""This kind of behavior does not suit a young woman!"""
177,suit," playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color; ""a flush is five cards in the same suit""; ""in bridge you must follow suit""; ""what suit is trumps?"""
178,suit," a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy; ""the family brought suit against the landlord"""
179,suit," (slang) a businessman dressed in a business suit; ""all the suits care about is the bottom line"""
180,vision," the formation of a mental image of something that is not perceived as real and is not present to the senses; ""popular imagination created a world of demons""; ""imagination reveals what the world could be"""
181,vision," a vivid mental image; ""he had a vision of his own death"""
182,magazine, a metal frame or container holding cartridges; can be inserted into an automatic gun
183,magazine," a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it; ""it takes several years before a magazine starts to break even or make money"""
184,supernumerary," a person serving no apparent function; ""reducing staff is difficult because our employees include no supernumeraries"""
185,supernumerary, a minor actor in crowd scenes
186,steamroller, a massive inexorable force that seems to crush everything in its way
187,steamroller," overwhelm by using great force; ""steamroller the opposition"""
188,steamroller," proceed with great force; ""The new teacher tends to steamroller"""
189,steamroller," bring to a specified state by overwhelming force or pressure; ""The Senator steamrollered the bill to defeat"""
190,steamroller," crush with a steamroller as if to level; ""steamroller the road"""
191,neighbour, a person who lives (or is located) near another
192,neighbour," live or be located as a neighbor; ""the neighboring house"""
193,neighbour," a nearby object of the same kind; ""Fort Worth is a neighbor of Dallas""; ""what is the closest neighbor to the Earth?"""
194,neighbour," be located near or adjacent to; ""Pakistan neighbors India"""
195,relegate," assign to a class or kind; ""How should algae be classified?""; ""People argue about how to relegate certain mushrooms"""
196,relegate," expel, as if by official decree; ""he was banished from his own country"""
197,relegate," assign to a lower position; reduce in rank; ""She was demoted because she always speaks up""; ""He was broken down to Sergeant"""
198,stem," front part of a vessel or aircraft; ""he pointed the bow of the boat toward the finish line"""
199,stem," remove the stem from; ""for automatic natural language processing, the words must be stemmed"""
200,stem, cylinder forming a long narrow part of something
201,stem," grow out of, have roots in, originate in; ""The increase in the national debt stems from the last war"""
202,stem," stop the flow of a liquid; ""staunch the blood flow""; ""stem the tide"""
203,stem, a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
204,pinch, a small sharp bite or snip
205,pinch, make ridges into by pinching together
206,theme," (music) melodic subject of a musical composition; ""the theme is announced in the first measures""; ""the accompanist picked up the idea and elaborated it"""
207,theme," (linguistics) the form of a word after all affixes are removed; ""thematic vowels are part of the stem"""
208,explosion," a sudden outburst; ""an explosion of laughter""; ""an explosion of rage"""
209,explosion," the act of exploding or bursting; ""the explosion of the firecrackers awoke the children""; ""the burst of an atom bomb creates enormous radiation aloft"""
210,explosion, a violent release of energy caused by a chemical or nuclear reaction
211,throw," make on a potter's wheel; ""she threw a beautiful teapot"""
212,throw, the maximum movement available to a pivoted or reciprocating piece by a cam
213,throw," casting an object in order to determine an outcome randomly; ""he risked his fortune on a throw of the dice"""
214,throw," be confusing or perplexing to; cause to be unable to think clearly; ""These questions confuse even the experts""; ""This question completely threw me""; ""This question befuddled even the teacher"""
215,throw, cause to be confused emotionally
216,throw," to put into a state or activity hastily, suddenly, or carelessly; ""Jane threw dinner together""; ""throw the car into reverse"""
217,throw," put or send forth; ""She threw the flashlight beam into the corner""; ""The setting sun threw long shadows""; ""cast a spell""; ""cast a warm light"""
218,throw," cause to go on or to be engaged or set in operation; ""switch on the light""; ""throw the lever"""
219,throw," propel through the air; ""throw a frisbee"""
220,throw," utter with force; utter vehemently; ""hurl insults""; ""throw accusations at someone"""
221,throw," the act of throwing (propelling something with a rapid movement of the arm and wrist); ""the catcher made a good throw to second base"""
222,herd, a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
223,herd," keep, move, or drive animals; ""Who will be herding the cattle when the cowboy dies?"""
224,herd," cause to herd, drive, or crowd together; ""We herded the children into a spare classroom"""
225,surcharge," place too much a load on; ""don't overload the car"""
226,surcharge, rip off; ask an unreasonable price
227,sign, make the sign of the cross over someone in order to call on God for protection; consecrate
228,sign, a gesture that is part of a sign language
229,sign," a character indicating a relation between quantities; ""don't forget the minus sign"""
230,sign," place signs, as along a road; ""sign an intersection""; ""This road has been signed"""
231,sign," approve and express assent, responsibility, or obligation; ""All parties ratified the peace treaty""; ""Have you signed your contract yet?"""
232,sign," (medicine) any objective evidence of the presence of a disorder or disease; ""there were no signs of asphyxiation"""
233,sign," a public display of a message; ""he posted signs in all the shop windows"""
234,sign," having an indicated pole (as the distinction between positive and negative electric charges); ""he got the polarity of the battery reversed""; ""charges of opposite sign"""
235,sign," a perceptible indication of something not immediately apparent (as a visible clue that something has happened); ""he showed signs of strain""; ""they welcomed the signs of spring"""
236,sign," be engaged by a written agreement; ""He signed to play the casino on Dec. 18""; ""The soprano signed to sing the new opera"""
237,sign," an event that is experienced as indicating important things to come; ""he hoped it was an augury""; ""it was a sign from God"""
238,titan, (Greek mythology) any of the primordial giant gods who ruled the Earth until overthrown by Zeus; the Titans were offspring of Uranus (Heaven) and Gaea (Earth)
239,titan, a person of exceptional importance and reputation
240,hoof, the foot of an ungulate mammal
241,hoof, dance in a professional capacity
242,trick," deceive somebody; ""We tricked the teacher into thinking that class would be cancelled next week"""
243,trick," an attempt to get you to do something foolish or imprudent; ""that offer was a dirty trick"""
244,trick, a ludicrous or grotesque act done for fun and amusement
245,trick, an illusory feat; considered magical by naive observers
246,trick," a cunning or deceitful action or device; ""he played a trick on me""; ""he pulled a fast one and got away with it"""
247,queen, (chess) the most powerful piece
248,queen, the wife or widow of a king
249,queen, one of four face cards in a deck bearing a picture of a queen
250,tender, a formal proposal to buy at a specified price
251,tender," propose a payment; ""The Swiss dealer offered $2 million for the painting"""
252,tender, someone who waits on or tends to or attends to the needs of another
253,tender," easy to cut or chew; ""tender beef"""
254,terror, an overwhelming feeling of fear and anxiety
255,terror, a very troublesome child
256,ligament, a sheet or band of tough fibrous tissue connecting bones or cartilages or supporting muscles or organs
257,ligament, any connection or unifying bond
258,blue, turn blue
259,blue," blue clothing; ""she was wearing blue"""
260,sponge, primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
261,sponge, erase with a sponge; as of words on a blackboard
262,sponge, ask for and get free; be a parasite
263,sponge," gather sponges, in the ocean"
264,sponge, a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used
265,heal," provide a cure for, make healthy again; ""The treatment cured the boy's acne""; ""The quack pretended to heal patients but never managed to"""
266,heal," get healthy again; ""The wound is healing slowly"""
267,window, (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen
268,window, a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
269,window, a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened
270,usa, North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
271,usa, the army of the United States of America; the agency that organizes and trains soldiers for land warfare
272,pharmacy, a retail shop where medicine and other articles are sold
273,pharmacy," the art and science of preparing and dispensing drugs and medicines,"
274,college, an institution of higher education created to educate and grant degrees; often a part of a university
275,college, the body of faculty and students of a college
276,college, a complex of buildings in which an institution of higher education is housed
277,step," the sound of a step of someone walking; ""he heard footsteps on the porch"""
278,step," measure (distances) by pacing; ""step off ten yards"""
279,step," shift or move by taking a step; ""step back"""
280,step, place (a ship's mast) in its step
281,step," the act of changing location by raising the foot and setting it down; ""he walked with unsteady steps"""
282,step," furnish with steps; ""The architect wants to step the terrace"""
283,step," a mark of a foot or shoe on a surface; ""the police made casts of the footprints in the soft earth outside the window"""
284,step," relative position in a graded series; ""always a step behind""; ""subtle gradations in color""; ""keep in step with the fashions"""
285,step," move with one's feet in a specific manner; ""step lively"""
286,step," any maneuver made as part of progress toward a goal; ""the situation called for strong measures""; ""the police took steps to reduce crime"""
287,step," walk a short distance to a specified place or in a specified manner; ""step over to the blackboard"""
288,step," a sequence of foot movements that make up a particular dance; ""he taught them the waltz step"""
289,step," treat badly; ""This boss abuses his workers""; ""She is always stepping on others to get ahead"""
290,step," support consisting of a place to rest the foot while ascending or descending a stairway; ""he paused on the bottom step"""
291,whole," all of something including all its component elements or parts; ""Europe considered as a whole""; ""the whole of American literature"""
292,whole," an assemblage of parts that is regarded as a single entity; ""how big is that part compared to the whole?""; ""the team is a unit""   coming into existence; ""an emergent republic"""
293,transportation, the commercial enterprise of moving goods and materials
294,transportation, the act of moving something from one location to another
295,transportation, the United States federal department that institutes and coordinates national transportation programs; created in 1966
296,transportation," the act of expelling a person from their native land; ""men in exile dream of hope""; ""his deportation to a penal colony""; ""the expatriation of wealthy farmers""; ""the sentence was one of transportation for life"""
297,transportation, the sum charged for riding in a public conveyance
298,return," the act of going back to a prior location; ""they set out on their return to the base camp"""
299,return," go or come back to place, condition, or activity where one has been before; ""return to your native land""; ""the professor returned to his teaching position after serving as Dean"""
300,return, the occurrence of a change in direction back in the opposite direction
301,return," give back; ""render money"""
302,return," a tennis stroke that sends the ball back to the other player; ""he won the point on a cross-court return"""
303,return," happening again (especially at regular intervals); ""the return of spring"""
304,return," getting something back again; ""upon the restitution of the book to its rightful owner the child was given a tongue lashing"""
305,return," pay back; ""Please refund me my money"""
306,return," be inherited by; ""The estate fell to my sister""; ""The land returned to the family""; ""The estate devolved to an heir that everybody had assumed to be dead"""
307,return," go back to something earlier; ""This harks back to a previous remark of his"""
308,return," pass down; ""render a verdict""; ""deliver a judgment"""
309,return," a reciprocal group action; ""in return we gave them as good as we got"""
310,return," return in kind; ""return a compliment""; ""return her love"""
311,return, (American football) the act of running back the ball after a kickoff or punt or interception or fumble
312,williams, United States country singer and songwriter (1923-1953)
313,williams, English clergyman and colonist who was expelled from Massachusetts for criticizing Puritanism; he founded Providence in 1636 and obtained a royal charter for Rhode Island in 1663 (1603-1683)
314,arousal, a state of heightened physiological activity
315,arousal, awakening from sleep
316,hoot, utter the characteristic sound of owls
317,hoot, a loud raucous cry (as of an owl)
318,hoot," to utter a loud clamorous shout; ""the toughs and blades of the city hoot and bang their drums, drink arak, play dice, and dance"""
319,workhouse, a poorhouse where able-bodied poor are compelled to labor
320,workhouse, a county jail that holds prisoners for periods up to 18 months
321,conspiracy, a group of conspirators banded together to achieve some harmful or illegal purpose
322,conspiracy, a secret agreement between two or more people to perform an unlawful act
323,conspiracy, a plot to carry out some harmful or illegal act (especially a political plot)
324,wassail, a punch made of sweetened ale or wine heated with spices and roasted apples; especially at Christmas
325,wassail," propose a toast to; ""Let us toast the birthday girl!""; ""Let's drink to the New Year"""
326,savagery," the property of being untamed and ferocious; ""the coastline is littered with testaments to the savageness of the waters""; ""a craving for barbaric splendor, for savagery and color and the throb of drums"""
327,savagery, a brutal barbarous savage act
328,presentation," the act of making something publicly available; presenting news or other information by broadcasting or printing it; ""he prepared his presentation carefully in advance"""
329,presentation, a visual representation of something
330,presentation, the act of presenting a proposal
331,presentation," (obstetrics) position of the fetus in the uterus relative to the birth canal; ""Cesarean sections are sometimes the result of abnormal presentations"""
332,presentation, formally making a person known to another or to the public
333,white alder, shrub of eastern and southern coastal United States having beautiful racemes of spice-scented white flowers
334,white alder, tree of western United States
335,race," people who are believed to belong to the same genetic stock; ""some biologists doubt that there are important genetic differences between races of human beings"""
336,race," any competition; ""the race for the presidency"""
337,race," a contest of speed; ""the race is to the swift"""
338,solvent," a statement that solves a problem or explains how to solve the problem; ""they were trying to find a peaceful solution""; ""the answers were in the back of the book""; ""he computed the result to four decimal places"""
339,solvent," a liquid substance capable of dissolving other substances; ""the solvent does not change its state in forming a solution"""
340,restoration," the state of being restored to its former good condition; ""the inn was a renovation of a Colonial house"""
341,restoration," some artifact that has been restored or reconstructed; ""the restoration looked exactly like the original"""
342,restoration, the act of restoring something or someone to a satisfactory state
343,user, a person who makes use of a thing; someone who uses or employs something
344,user, a person who takes drugs
345,dictate, an authoritative rule
346,dictate, rule as a dictator
347,pit," a sizeable hole (usually in the ground); ""they dug a pit to bury the body"""
348,pit," (Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment; ""Hurl'd headlong...To bottomless perdition, there to dwell""- John Milton; ""a demon from the depths of the pit""; ""Hell is paved with good intentions""-Dr. Johnson"
349,pit, a workplace consisting of a coal mine plus all the buildings and equipment connected with it
350,pit, a concavity in a surface (especially an anatomical depression)
351,ward, English economist and conservationist (1914-1981)
352,ward," block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care; ""they put her in a 4-bed ward"""
353,ward, a division of a prison (usually consisting of several cells)
354,ward," watch over or shield from danger or harm; protect; ""guard my possessions while I'm away"""
355,ward, a person who is under the protection or in the custody of another
356,length," size of the gap between two places; ""the distance from New York to Chicago""; ""he determined the length of the shortest line segment joining the two points"""
357,length," the linear extent in space from one end to the other; the longest dimension of something that is fixed in place; ""the length of the table was 5 feet"""
358,length," continuance in time; ""the ceremony was of short duration""; ""he complained about the length of time required"""
359,enucleate, remove the nucleus from (a cell)
360,enucleate, remove (a tumor or eye) from an enveloping sac or cover
361,single, a base hit on which the batter stops safely at first base
362,single," being or characteristic of a single thing or person; ""individual drops of rain""; ""please mark the individual pages""; ""they went their individual ways"""
363,chain, (business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership
364,chain, a series of (usually metal) rings or links fitted into one another to make a flexible ligament
365,chain, a unit of length
366,smell, the faculty that enables us to distinguish scents
367,smell," emit an odor; ""The soup smells good"""
368,smell, inhale the odor of; perceive by the olfactory sense
369,smell," smell bad; ""He rarely washes, and he smells"""
370,smell," the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form; ""she loved the smell of roses"""
371,smell, any property detected by the olfactory system
372,oat, annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')
373,oat, seed of the annual grass Avena sativa (spoken of primarily in the plural as `oats')
374,be," occupy a certain position or area; be somewhere; ""Where is my umbrella?"" ""The toolshed is in the back""; ""What is behind this behavior?"""
375,be," have the quality of being; (copula, used with an adjective or a predicate noun); ""John is rich""; ""This is not a good answer"""
376,sophisticate, a worldly-wise person
377,sophisticate," alter and make impure, as with the intention to deceive; ""Sophisticate rose water with geraniol"""
378,sophisticate," make less natural or innocent; ""Their manners had sophisticated the young girls"""
379,attention," the faculty or power of mental concentration; ""keeping track of all the details requires your complete attention"""
380,attention, the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
381,attention," a general interest that leads people to want to know more; ""She was the center of attention"""
382,attention," a motionless erect stance with arms at the sides and feet together; assumed by military personnel during drill or review; ""the troops stood at attention"""
383,panel," select from a list; ""empanel prospective jurors"""
384,panel, a piece of cloth that is generally triangular or tapering; used in making garments or umbrellas or sails
385,panel, a committee appointed to judge a competition
386,panel, a group of people gathered for a special purpose as to plan or discuss an issue or judge a contest etc
387,panel, sheet that forms a distinct (usually flat and rectangular) section or component of something
388,panel," decorate with panels; ""panel the walls with wood"""
389,panel," electrical device consisting of a flat insulated surface that contains switches and dials and meters for controlling other electrical devices; ""he checked the instrument panel""; ""suddenly the board lit up like a Christmas tree"""
390,panel, (computer science) a small temporary window in a graphical user interface that appears in order to request information from the user; after the information has been provided the user dismisses the box with `okay' or `cancel'
